Site_type,a,b
Greenthumb,40.693761,-73.948972
Outdoor ,40.677265,-74.008353
Indoor,40.604374,-73.930741
Outdoor ,40.617506,-74.040033
Outdoor ,40.697746,-73.976199
Outdoor ,40.701079,-73.995307
Greenthumb,40.667491,-73.89384
Indoor,40.673754,-73.934855
Greenthumb,40.713316,-73.938974
Outdoor,40.650143,-73.884372
Outdoor ,40.706315,-73.948025
Outdoor ,40.705616,-73.947172
Indoor,40.648468,-74.006771
Outdoor ,40.64848,-74.006674
Greenthumb,40.709648,-73.950166
Greenthumb,40.666548,-73.887691
Greenthumb,40.665324,-73.886769
Outdoor ,40.676766,-73.965902
Outdoor ,40.688204,-73.966559
Greenthumb,40.674329,-73.877867
Greenthumb,40.695221,-73.943264
Greenthumb,40.684658,-73.925222
Greenthumb,40.723831,-73.980677
Outdoor,40.712187,-74.005701
Indoor,40.715827,-74.000488
Outdoor,40.715923,-74.001448
Outdoor,40.71045,-74.003755
Indoor,40.716396,-74.001359
Outdoor,40.718605,-73.993763
Outdoor ,40.807945,-73.945623
Outdoor,40.716941,-74.000816
Outdoor,40.713608,-74.003619
Outdoor,40.714023,-74.004472
Outdoor,40.714399,-74.006131
Indoor,40.716827,-74.004185
Outdoor ,40.750901,-73.990843
Outdoor,40.71368,-74.005513
Outdoor,40.716158,-74.002555
Indoor,40.716458,-74.002467
Indoor,40.715387,-74.001773
Outdoor ,40.785787,-73.951092
Outdoor,40.785717,-73.950922
Indoor,40.710412,-73.996979
Indoor,40.736271,-73.975508
Outdoor ,40.704592,-74.016957
Outdoor ,40.711576,-74.016051
Outdoor ,40.705075,-74.017115
Outdoor,40.711565,-74.015853
Outdoor ,40.716092,-74.000134
Outdoor ,40.739982,-73.978053
Outdoor ,40.852856,-73.938098
Outdoor ,40.736401,-74.005572
Outdoor ,40.712939,-74.007262
Outdoor ,40.71248,-74.007642
Outdoor ,40.754391,-73.983402
Outdoor ,40.753954,-73.984092
Outdoor ,40.77453,-73.943837
Greenthumb,40.804559,-73.952985
Outdoor ,40.712796,-74.004816
Outdoor ,40.749849,-74.000856
Indoor,40.748355,-74.002007
Outdoor,40.749349,-74.007351
Outdoor,40.749318,-74.006981
Outdoor ,40.711834,-74.007124
Outdoor ,40.712806,-74.004808
Outdoor ,40.712897,-74.007269
Outdoor ,40.712517,-74.007573
Outdoor ,40.710746,-73.993819
Outdoor ,40.819645,-73.936417
Outdoor ,40.71475,-74.000096
Outdoor,40.732377,-74.010735
Outdoor ,40.804284,-73.931744
Outdoor ,40.721757,-73.996052
Outdoor,40.71511,-74.002359
Outdoor,40.715356,-74.002985
Outdoor ,40.807191,-73.934751
Outdoor ,40.716205,-73.975494
Outdoor ,40.753938,-73.986947
Outdoor ,40.760842,-73.969307
Outdoor ,40.730225,-74.002246
Outdoor ,40.714357,-74.003085
Outdoor ,40.715167,-74.002599
Outdoor ,40.824847,-73.935623
Outdoor ,40.751692,-73.975975
Outdoor ,40.715109,-74.011382
Indoor,40.719937,-73.981432
Outdoor ,40.720057,-73.981636
Outdoor ,40.716618,-73.975256
Outdoor ,40.717499,-73.974858
Outdoor ,40.718372,-73.974674
Outdoor ,40.718888,-73.974598
Outdoor ,40.719832,-73.974488
Outdoor ,40.721303,-73.974323
Outdoor ,40.722911,-73.973828
Outdoor ,40.723896,-73.973184
Outdoor ,40.724113,-73.973016
Outdoor ,40.725238,-73.972364
Indoor,40.812748,-73.939317
Outdoor ,40.78613,-73.943294
Outdoor ,40.806036,-73.934206
Outdoor,40.718742,-74.013092
Outdoor ,40.739465,-74.008162
Outdoor ,40.74085,-74.008056
Outdoor ,40.743298,-74.007034
Indoor,40.847983,-73.929251
Outdoor ,40.746041,-74.006109
Outdoor ,40.731457,-74.010973
Outdoor,40.742795,-74.008033
Outdoor,40.748684,-74.008825
Outdoor,40.748507,-74.009283
Outdoor,40.738145,-74.010417
Outdoor,40.762839,-74.001011
Outdoor,40.751987,-74.008443
Outdoor,40.770381,-73.995824
Outdoor,40.728833,-74.011899
Outdoor,40.727097,-74.011512
Outdoor,40.714666,-74.002176
Outdoor,40.702411,-74.012879
Outdoor,40.70235,-74.014393
Outdoor,40.701307,-74.011998
Outdoor ,40.706124,-74.004217
Outdoor ,40.87126,-73.930765
Outdoor ,40.872594,-73.930199
Outdoor ,40.867338,-73.929011
Indoor,40.87303,-73.918427
Outdoor ,40.84637,-73.940825
Indoor,40.84696,-73.940028
Indoor,40.824297,-73.942288
Outdoor ,40.738952,-74.002882
Outdoor ,40.859226,-73.934552
Outdoor ,40.820071,-73.952107
Outdoor ,40.769445,-73.949898
Greenthumb,40.802588,-73.938468
Outdoor ,40.773715,-73.981957
Outdoor,40.771372,-73.982072
Greenthumb,40.828677,-73.948059
Outdoor ,40.758977,-73.991396
Greenthumb,40.799707,-73.962203
Outdoor ,40.805621,-73.958455
Outdoor ,40.80413,-73.958298
Outdoor ,40.803133,-73.958336
Outdoor ,40.801921,-73.960854
Greenthumb,40.835708,-73.939122
Outdoor ,40.781936,-73.97542
Outdoor ,40.781265,-73.975927
Outdoor ,40.780558,-73.972924
Outdoor ,40.782175,-73.972256
Outdoor ,40.782666,-73.973215
Greenthumb,40.808183,-73.95205
Outdoor ,40.711826,-74.007142
Greenthumb,40.814478,-73.943498
Subproperty,40.867205,-73.929121
Indoor,40.805463,-73.946284
Outdoor,40.720478,-74.016223
Outdoor,,
Outdoor,40.720176,-74.013949
Outdoor,40.719714,-74.012943
Outdoor,40.72917,-74.011317
Outdoor,40.73038,-74.011005
Outdoor,40.728828,-74.011903
Outdoor,40.732971,-74.010875
Outdoor,40.74341,-74.009
Outdoor,40.763247,-74.000042
Greenthumb,40.796609,-73.931602
Outdoor,40.707656,-74.015976
Indoor,40.756564,-73.965043
Outdoor ,40.787059,-73.982257
Outdoor ,40.829744,-73.936431
Outdoor ,40.721035,-73.991596
Outdoor ,40.714603,-73.990111
Greenthumb,40.724254,-73.982088
Outdoor ,40.724319,-73.997828
Outdoor ,40.72227,-73.997287
Outdoor ,40.76512,-73.958509
Outdoor ,40.817272,-73.948248
Outdoor ,40.744858,-73.973764
Outdoor ,40.73277,-73.97406
Outdoor ,40.793412,-73.937115
Outdoor ,40.714045,-74.003135
Outdoor ,40.714224,-74.003285
Outdoor ,40.715059,-74.002355
Outdoor ,40.715355,-74.002982
Outdoor ,40.755914,-73.986712
Outdoor ,40.72603,-73.983353
Outdoor ,40.726599,-73.982985
Outdoor ,40.725698,-73.980843
Indoor,40.729474,-74.005489
Outdoor ,40.719979,-74.010272
Outdoor ,40.735243,-73.991012
Outdoor ,40.735219,-73.991603
Outdoor ,40.735292,-73.991614
Outdoor ,40.737023,-73.990324
Outdoor ,40.736535,-73.989754
Outdoor ,40.736122,-73.98963
Outdoor ,40.73534,-73.990127
Outdoor ,40.77878,-73.981788
Outdoor ,40.72534,-74.002324
Outdoor ,40.704695,-74.006729
Outdoor ,40.704919,-74.007084
Outdoor ,40.715575,-74.011301
Outdoor ,40.717298,-74.011001
Outdoor ,40.729689,-73.99662
Greenthumb,40.806938,-73.945301
Outdoor ,40.731315,-74.000988
Outdoor ,40.788757,-73.977788
Outdoor ,40.702335,-74.014384
Indoor,40.755803,-73.92631
Outdoor ,40.728344,-73.815159
Outdoor ,40.673137,-73.85461
Indoor,40.751418,-73.833843
Indoor,40.76269,-73.753297
Subproperty,40.740063,-73.734291
Subproperty,40.739523,-73.734881
Subproperty,40.739295,-73.735873
Subproperty,40.738986,-73.737665
Subproperty,40.739758,-73.73546
Outdoor ,40.776788,-73.92753
Outdoor ,40.715851,-73.836995
Greenthumb,40.683453,-73.79213
Outdoor ,40.675268,-73.786905
Outdoor ,40.682418,-73.785392
Outdoor ,40.681366,-73.787854
Outdoor ,40.758381,-73.831008
Greenthumb,40.690594,-73.803822
Outdoor ,40.66346,-73.741329
Outdoor ,40.661051,-73.746639
Outdoor ,40.657674,-73.748388
Subproperty,40.770753,-73.77174
Outdoor ,40.667505,-73.807496
Outdoor ,40.712529,-73.799377
Subproperty,40.779897,-73.922391
Outdoor ,40.77208,-73.769438
Greenthumb,40.595548,-73.762266
Outdoor ,40.736722,-73.770538
Outdoor ,40.73523,-73.772083
Outdoor ,40.730966,-73.772458
Outdoor ,40.73836,-73.764991
Outdoor ,40.730117,-73.7727
Outdoor ,40.729499,-73.772888
Outdoor ,40.701915,-73.783477
Outdoor ,40.730193,-73.885302
Outdoor ,40.744249,-73.844068
Outdoor ,40.740388,-73.841879
Outdoor ,40.737039,-73.837856
Outdoor ,40.735169,-73.843435
Outdoor ,40.7333,-73.841976
Outdoor ,40.728112,-73.835592
Outdoor ,40.746639,-73.844583
Outdoor ,40.749151,-73.840066
Indoor,40.751882,-73.837459
Outdoor ,40.698413,-73.857672
Outdoor,40.69747,-73.856664
Outdoor,40.69664,-73.860344
Outdoor,40.69799,-73.853295
Outdoor,40.701854,-73.853145
Outdoor,40.702293,-73.854765
Outdoor,40.701272,-73.841922
Outdoor ,40.792357,-73.777013
Outdoor,40.794781,-73.779207
Outdoor,40.792085,-73.774357
Greenthumb,40.692406,-73.794745
Outdoor ,40.704591,-73.881944
Outdoor ,40.753635,-73.947615
Outdoor ,40.710069,-73.911456
Outdoor,40.71031,-73.911063
Outdoor ,40.733135,-73.871233
Outdoor,40.733143,-73.871427
Outdoor,40.733068,-73.870885
Outdoor,40.732938,-73.870916
Outdoor,40.732701,-73.871081
Outdoor,40.733203,-73.871822
Outdoor,40.720689,-73.877521
Outdoor,40.720412,-73.876474
Outdoor,40.719988,-73.884693
Outdoor,40.719841,-73.882971
Outdoor ,40.742502,-73.810261
Outdoor,40.749228,-73.803658
Outdoor,40.744148,-73.809333
Outdoor,40.742364,-73.808518
Outdoor,40.747887,-73.809765
Indoor,40.732226,-73.86515
Outdoor ,40.757266,-73.770978
Outdoor ,40.721815,-73.845511
Outdoor,40.722012,-73.84608
Outdoor,40.72248,-73.847477
Indoor,40.751632,-73.843676
Indoor,40.751632,-73.843676
Indoor,40.750333,-73.8441
Outdoor ,40.694407,-73.822116
Subproperty,40.740883,-73.849318
Outdoor ,40.736171,-73.814014
Indoor,40.747127,-73.852214
Indoor,40.745794,-73.846729
Indoor,40.744152,-73.844476
Indoor,40.743599,-73.850355
Outdoor ,40.765644,-73.941159
Outdoor ,40.580754,-73.824936
Outdoor,40.5814,-73.823377
Outdoor,40.582137,-73.820127
Outdoor,40.582479,-73.819097
Outdoor,40.582825,-73.817858
Outdoor,40.583412,-73.815484
Outdoor,40.58415,-73.812472
Outdoor,40.5844,-73.811254
Outdoor,40.585826,-73.807265
Outdoor,40.585105,-73.809223
Outdoor ,40.670613,-73.846257
Outdoor ,40.685918,-73.769315
Outdoor,40.688249,-73.773574
Outdoor,40.691011,-73.774207
Outdoor ,40.768029,-73.936159
Indoor,40.602281,-73.751564
Outdoor ,40.665379,-73.824555
Outdoor,40.665627,-73.826703
Outdoor ,40.758219,-73.900278
Outdoor ,40.758155,-73.919785
Outdoor ,40.749844,-73.91475
Outdoor ,40.749547,-73.91514
Outdoor ,40.749687,-73.91427
Outdoor ,40.754243,-73.889365
Subproperty,40.741628,-73.777362
Greenthumb,40.701651,-73.78315
Indoor,40.751914,-73.83732
Subproperty,40.587445,-74.100364
Subproperty,40.586439,-74.100257
Outdoor,40.574036,-74.116627
Outdoor ,40.53514,-74.208524
Outdoor ,40.533819,-74.210241
Outdoor ,40.531521,-74.207153
Outdoor ,40.535174,-74.210125
Outdoor ,40.557382,-74.10392
Outdoor ,40.560272,-74.10104
Indoor,40.620135,-74.118801
Indoor,40.618744,-74.118278
Outdoor ,40.613891,-74.113523
Outdoor ,40.637872,-74.118791
Indoor,40.614615,-74.07412
Indoor,40.640999,-74.135418
Indoor,40.62005569,-74.16311549
Indoor,40.588496,-74.138918
Outdoor ,40.584516,-74.125035
Indoor,40.593686,-74.135646
Subproperty,40.564469,-74.097531
Indoor,40.637596,-74.074802
Outdoor ,40.585877,-74.100975
Outdoor ,40.643368,-74.086066
Outdoor ,40.575019,-74.098706
Outdoor ,40.57669,-74.098663
Outdoor ,40.628859,-74.118013
Outdoor ,40.627186,-74.091985
Outdoor ,40.628358,-74.099058
Outdoor ,40.579313,-74.077688
Outdoor,40.642709,-74.075724
Outdoor ,40.642324,-74.075489
Outdoor ,40.642303,-74.076549
Indoor,40.505646,-74.235477
Outdoor ,40.643799,-74.108845
Outdoor ,40.642843,-74.11032
Outdoor ,40.643449,-74.11046
Outdoor ,40.643343,-74.108641
Indoor,40.637121,-74.119287
Outdoor ,40.603832,-74.158697
Outdoor ,40.603828,-74.16125
Outdoor ,40.517368,-74.190913
Outdoor ,40.518652,-74.18731
